no.	gen	evalFit	result	time(ms)
20	4	28	3	5
21	6	40	3	7
22	3	22	3	4
23	7	46	3	10
24	4	28	3	6
25	6	40	3	9
26	4	28	3	6
27	5	34	3	7
28	5	34	3	7
29	5	34	3	8
30	6	40	3	7
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	538	9.42478	3	30	3	5	5	100	0.5	3	3	3	33	100%	6.2
no.	gen	evalFit	result	time(ms)
1	7	46	4	8
2	11	70	4	12
3	8	52	4	9
4	7	46	4	9
5	9	58	4	11
6	9	58	4	9
7	10	64	4	10
8	9	58	4	9
9	8	52	4	9
10	6	40	4	7
11	10	66	4	12
12	9	58	4	10
13	8	52	4	9
14	7	46	4	9
15	8	52	4	10
16	8	53	4	10
17	9	60	4	12
18	11	71	4	12
19	10	64	4	12
20	9	60	4	11
21	6	40	4	7
22	8	52	4	10
23	8	52	4	9
24	7	46	4	8
25	10	66	4	12
26	10	64	4	11
27	8	53	4	10
28	8	54	4	11
29	7	47	4	10
30	8	52	4	8
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	573	7.06858	4	30	3	5	5	100	0.5	4	4	4	55	100%	9.86667
